session_id,session_name,session_date,session_release,participant_ID,participant_info,participant_description,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_language,participant_state,exclusion_name,exclusion_reason,exclusion_description,condition_name,vol_id
9920,NA,2015-11-06,EXCERPTS,2015-125,Video,Form 1,2010-12-16,Male,White,Not Hispanic or Latino,English,PA,pre-test,Did not meet inclusion criteria,was ceiling at pre-test,Control,184
9921,NA,2015-11-06,SHARED,2015-126,Video,Form 3,2011-06-17,Male,Asian,Not Hispanic or Latino,English,PA,inverted,NA,NA,Control,184
9922,NA,2015-11-06,SHARED,2015-127,Video,Form 5,2011-06-26,Male,White,Not Hispanic or Latino,English,PA,inverted,NA,NA,Control,184
9923,NA,2015-11-06,EXCERPTS,2015-128,Video,Form 7,2011-11-01,Female,Asian,Not Hispanic or Latino,English,PA,inverted,NA,NA,Control,184
9924,NA,2015-11-06,SHARED,2015-129,Audio,Form 9,2011-04-15,Female,Black or African American,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
9925,NA,2015-11-06,SHARED,2015-130,Video,Form 11,2010-10-24,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
9926,NA,2015-11-06,SHARED,2015-131,Video,Form 13,2010-07-20,Male,Asian,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
9927,NA,2015-11-06,EXCERPTS,2015-132,Video,Form 15,2010-09-11,Male,More than one,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
9928,NA,2015-11-06,EXCERPTS,2015-133,Video,Form 18,2010-06-28,Female,Asian,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
9975,NA,2015-11-13,EXCERPTS,2015-135,Video,Form 20,2010-10-19,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
9976,NA,2015-11-13,SHARED,2015-136,Video,Form 22,2011-06-24,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
9977,NA,2015-XX-XX,PRIVATE,2015-137,Video,Form 24,NA,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
10007,NA,2015-XX-XX,PRIVATE,2015-138,Video,Form 26,NA,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
10008,NA,2015-11-16,EXCERPTS,2015-139,Video,Form 28,2011-02-21,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
10009,NA,2015-11-16,EXCERPTS,2015-140,Video,Form 30,2011-05-19,Female,White,Not Hispanic or Latino,English,PA,inverted,NA,NA,Control,184
10010,NA,2015-XX-XX,PRIVATE,2015-141,Video,Form 32,NA,Male,Unknown or not reported,Unknown or not reported,English,PA,include,NA,NA,Control,184
10012,NA,2015-11-16,EXCERPTS,2015-142,Video,Form 1,2011-03-23,Female,White,Not Hispanic or Latino,English,PA,inverted,NA,NA,Physical,184
10076,NA,2015-11-20,SHARED,2015-143,Video,Form 1,2010-09-10,Male,More than one,Not Hispanic or Latino,English,PA,pre-test,Did not meet inclusion criteria,was ceiling at pre-test,No Violation,184
10077,NA,2015-11-20,EXCERPTS,2015-027,Video,Form 3,2011-06-08,Female,Unknown or not reported,Unknown or not reported,English,PA,non-cooperative,Withdrew/fussy/tired,NA,Biological,184
10132,NA,2015-11-20,EXCERPTS,2015-146,VIdeo,Form 3,2011-08-12,Male,Unknown or not reported,Unknown or not reported,English,PA,include,NA,NA,Physical,184
10133,NA,2015-11-20,EXCERPTS,2015-147,Video,Form 5,2010-09-24,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10144,NA,2015-11-20,EXCERPTS,2015-026,Video,Form 1,2010-09-24,Female,Unknown or not reported,Unknown or not reported,English,PA,include,NA,NA,Biological,184
10149,NA,2015-11-23,SHARED,2015-148,Video,Form 5,2011-05-15,Female,White,Not Hispanic or Latino,English,PA,inverted,NA,NA,No Violation,184
10151,NA,2015-11-23,EXCERPTS,2015-149,Video,Form 5,2011-03-07,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
10152,NA,2015-11-23,EXCERPTS,2015-150,Video,Form 18,2011-06-19,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
10153,NA,2015-11-23,SHARED,2015-151,Video,Form 18,2010-12-09,Male,White,Not Hispanic or Latino,English,PA,inverted,NA,NA,No Violation,184
10154,NA,2015-XX-XX,PRIVATE,2015-152,Video,Form 18,NA,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10180,NA,2015-12-09,EXCERPTS,2015-154,Video,Form 20,2011-02-10,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10181,NA,2015-XX-XX,PRIVATE,2015-155,Audio,Form 20,NA,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
